000027d5,00003c81,0000256c,ffff963c
0000007d,000022c6,00004508,ffffef7b
fffffb7a,ffffab71,00005587,ffffd7fc
ffffea71,00002279,ffffc0d5,00002a86
ffffe1c8,0000184c,ffffd787,fffff31d
000049eb,00000577,00006d01,000027b7
ffffc0ba,000060eb,ffffe794,ffffe346
000042ce,00002dfd,ffffaec4,000031ef
ffffb781,00000d3b,ffffc981,fffffa81
0000365e,00007223,ffffec00,00007b2c
fffff23a,ffffdcbc,ffffed52,ffffdb3f
ffffdfac,ffffc853,ffffdd6f,ffffc72e
fffff9db,ffffdd35,00003ff2,00004583
00002068,0000218e,ffffbb64,00001ddd
000042c3,000002f0,ffffc0d7,fffffd55
ffffdea3,ffffd880,ffffbbd1,fffff2ad
ffff9159,fffff583,00002b81,ffffe89b
ffffb334,ffffe384,00003979,ffffd8bc
000001e1,fffffed7,0000424f,fffff371
ffffc6ef,ffffd16f,00003146,00002d76
000042f5,00004937,00005f1f,00004f5f
ffffbbc8,ffffb8cb,00004d81,ffffebf6
00001a31,fffffcf4,0000252c,00005984
ffffad52,00002ddb,fffff113,ffff9547
ffffd32e,ffffd130,ffffe744,ffffec1c
ffffbe48,fffff395,fffff040,00004e9a
fffffee9,ffffd18d,fffff047,ffffe99f
ffffbd7e,fffff8ff,ffffe4da,ffffc6ee
fffffd7c,ffffc6d2,000031d8,00004acc
00003f19,00005170,00001113,ffff9a02
ffffd4df,00002d2d,ffffe1ed,ffffc98f
ffffd0c1,ffffa4cf,00001f2c,00003a31
ffffc327,00002151,00000c8d,000028a3
00006892,0000031c,00004495,000025a4
fffff994,ffffd5b8,000009e4,ffffef45
000001aa,ffffe399,0000178f,ffffe259
0000529a,ffffb771,0000319d,00002656
0000444f,ffffee19,00000eea,00001fb6
ffffdd9b,ffffda61,00000f13,ffffcd7f
0000142b,0000024c,00004d23,000025a3
ffffee06,00001293,ffffe01c,ffffbbb8
00001368,00001af7,fffff0be,ffffb1f1
0000658a,00003142,ffff9ddb,ffffc87d
fffffdd4,ffff9f7e,ffffea62,ffffe6e4
00000f71,000070e6,fffffaca,ffffe196
ffffd14b,ffffe3a9,ffff98e9,00002f10
000024ea,ffffaf35,ffffb1b2,ffffc58f
000050b0,fffff263,00003b62,fffffa48
00001217,ffffd509,ffff9583,fffff5e8
00003c8b,ffff9b21,00001b0d,0000137d
ffffc89d,fffffba2,00000c95,ffffd547
00000916,000022e8,ffffc146,00001e99
00001152,ffffb0d3,00005722,00004b9b
00002605,ffffd9a3,ffffd36f,000033c5
00000393,00002f3d,ffffd5f2,ffffd318
00001020,00005f8c,ffffeec4,ffffe155
00001b71,fffffcd3,ffffe083,000020ec
0000502b,00000e65,ffff98b3,00000210
00005a90,00001df9,ffffb40e,ffffd03f
000017a9,ffffedc9,ffffe740,00006436
ffffb119,0000192f,00002587,ffffbdb5
00007362,ffffdc78,ffffe353,fffffcf2
00002374,00001ee5,ffffd03c,0000254f
ffffcaf7,00002f89,00003265,00004037
ffffc098,00003fa0,ffffdcc8,0000531d
ffffc452,00000172,00004e04,ffffbd8a
0000355f,00006079,000059b6,fffff362
00004ff3,0000110b,ffffe63f,000029c9
ffffe0c1,000000c5,00003b9c,000044c8
000041e6,000019f2,ffffdbde,00003223
00001758,000007a1,ffff9c2e,fffff8bb
00000e17,00000205,ffffbbfc,ffffc7c5
fffff13f,000037f4,fffff3ef,ffffcf04
000048e0,ffffc563,000018a0,ffffd1be
ffffd04a,00003143,ffffd062,000033eb
fffff2a2,00006875,ffffdb5d,ffffef43
00000437,00004019,ffffc682,00001e99
0000594d,ffffc060,0000579c,0000566f
0000386b,00000227,00001587,00006e1b
00000a19,00005d82,ffffc61c,ffffcf61
0000065a,ffffaab7,00003992,fffffa66
ffffcace,000049f8,ffffdc1f,ffffdb38
fffffc0d,0000409e,00005da9,000037ff
ffffe3a6,ffff9011,ffffe980,000024d1
ffffc50b,0000019b,ffffc772,ffffcd4c
ffffd711,ffffd397,00000318,00006947
fffff308,ffffee0f,00000e98,00004567
0000028a,0000490e,ffffa089,ffffa9a1
0000253d,00004eb6,ffffe1ff,00002c32
fffffbda,ffffb9c5,00000c98,00003cd2
00000539,ffffda56,ffffaa4d,ffffcb94
fffff5bd,ffffe3bb,00004427,000034df
00000a78,000026b3,000011dd,fffffa03
fffff9a9,ffffef84,00003986,00001455
ffff9a43,000033e6,fffff8d0,0000077d
00001250,00000f8b,00002791,00003fb8
00007832,fffffdc9,00004768,ffffed32
00003c8c,fffff3e9,ffffdaef,000032ba
00002ce8,000028a5,ffffe07e,fffffbac
ffff88d7,0000599e,000020f9,000022fb
00001143,ffffd9a1,00002a88,00001c55
ffffc43b,00000d75,000038b2,00000a8b
000027da,00000d12,000035aa,00001d4c
ffffd6f1,0000114d,00000acc,ffffc0ce
000026b3,00004e56,0000484b,000009d7
00003ee8,ffffdd03,fffff773,00000ce5
000027cb,00004230,00006d34,fffffe41
ffffe290,000022e4,ffffd136,00005074
fffff82f,00002bbe,000021f2,00004376
ffffb986,00002293,ffffd7c9,ffffe44c
ffffe6d6,00001950,00000776,ffff9400
fffffb49,ffffc60d,00002a45,ffff9ca1
ffffaf73,ffffd447,ffffcdd1,fffff6b6
00004181,ffffca81,00003938,000009f0
00000e4c,00003702,fffffe99,ffffa3f8
ffffff16,fffffaae,00004c35,ffffc37d
0000474d,ffffca35,fffff465,ffffae24
000019cd,fffffd2c,00002e35,00000c2c
ffffa9fd,ffffcff9,fffff0bd,ffffd696
00000d7a,00000738,00001671,ffffa79e
ffffc90f,000005fe,00004914,ffffdb53
ffffc8c4,fffff93b,fffff964,00000ceb
ffffea8b,000041c4,00003e5c,00001b75
0000145e,00003e38,ffffac5b,fffff3c1
000049a2,000041bf,000037f6,fffffac3
ffffe7db,00001498,ffffbbc1,0000688e
0000626e,ffffeb19,0000050a,00002375
00000dca,ffffd446,fffff447,ffffbd91
00006088,ffffa712,fffffbeb,00002567
000071ee,000022b1,00003843,ffffc61c
fffff388,fffff5de,0000319d,ffffdec2
00002214,fffffb39,00002ace,00004c5f
fffffc3f,ffffcfe7,0000542a,0000353d
00002aff,0000202e,ffffafb7,00007194
000034af,00001252,00002078,fffff92d
ffffb596,fffff9a3,ffffbb44,ffffff73
ffffcbf1,ffffd92a,ffffeed0,000005a1
00002b94,ffffb483,00001e19,ffffbc38
00002a38,000005df,ffffe881,fffffb7a
0000243c,00001eea,fffff397,00000c77
ffffe7f8,ffffc26e,000013c0,fffff150
000046d2,ffffeb3b,ffff960b,ffffd294
fffffe3e,00002255,ffffd066,ffffa830
000028d9,fffffa3c,ffffdb9a,ffffb1a6
000008cd,ffffbd0d,ffffbeb2,00001572
ffffc644,0000208a,fffff312,00000982
0000043a,ffffbf78,000009a8,ffffec80
fffff41f,ffffea42,ffffc499,ffffa18c
ffffc176,0000090b,00000bc6,ffff9e8a
ffffe04f,ffffcf13,ffffeeb8,00000ab4
ffffee0d,ffffcfd3,ffffb7f7,ffffe27f
ffffad49,000001fa,ffffb0b0,000042ad
ffffe6a6,00002511,ffffb9e0,ffffade1
ffffdeff,fffff8dc,000026d0,00001365
ffffff65,00004fc6,00005356,ffffe301
00005325,000028cb,000031b7,00004481
ffffa7ed,00002da1,000008f1,0000214c
0000307c,fffffc4b,000036aa,000068bd
00001495,ffffb8e1,fffff979,00002b8d
00003118,ffff97d9,000020f6,ffffdc56
000061a6,00003df8,ffffad9d,00005b88
00003327,00001b85,00000958,0000201a
0000301e,ffffdbb1,ffffa6cf,ffffc0e2
ffff8d53,ffffcab0,ffffb3ca,ffffb559
ffff9f95,ffffa37b,ffffac61,ffffcb42
00003eaf,ffffb3ce,00003e8d,ffffe581
fffff0ed,00003548,00000044,00000215
ffff8e6e,ffffb7d5,ffffd339,ffffbc29
ffffec17,000018c4,ffffe800,fffff259
00000b92,00003640,00002c3e,00006ba1
0000359a,fffffb5b,00005aaa,00001d6d
00005cc7,0000289c,fffff22b,fffffc82
ffffd28d,ffff9a31,ffffc6d5,00003495
0000304a,00003402,ffffe32e,fffff0fc
0000393e,ffffce80,ffffe97c,00001a83
ffffbd97,00002679,ffffb8db,ffffdecb
0000246c,0000285a,fffff587,ffffea87
00006c79,ffff9f23,ffffa1a3,ffff9d10
00000abf,ffffb9f4,00001606,00002aae
00002ac9,000034d6,fffffc3e,ffffd6de
fffffd98,000019f2,000054a6,fffffc4b
ffffa220,ffff9342,ffffecd2,fffffd44
000035b7,000033d3,ffffd6f6,ffffbc9d
00006893,000001e7,fffffe44,ffffc0e1
000052f6,00003a69,0000173a,ffffc3e3
00002761,000009b1,0000016e,ffffd3aa
0000271d,ffffead0,00002b14,0000617f
ffffa990,ffffe8b4,ffffb002,00007bec
ffffea70,00000bfe,ffffefcb,000017cf
000037c4,ffffe28e,000003e5,00004422
000038e3,ffffe476,00001edc,ffffa72b
ffffbd14,0000687f,ffffe26c,00002e2a
ffffa7e2,00004547,ffffbd0b,fffff589
00000365,ffffd2c4,ffffe715,00005329
ffffc155,ffffe6e2,ffffcd4a,00001be8
000011ab,000018cf,000018fd,00005fde
ffffb628,000049b5,0000086d,ffffd083
000010d4,ffffed90,00000c51,ffffc77a
00001b31,000014e1,00001bbb,000013ca
ffffd1f8,ffffec30,ffffff59,ffffc8a1
ffffa18c,ffffc806,00003623,ffffc08b
ffffce9c,0000059e,ffffc323,00000a62
00001a19,000074e7,000039f8,000015c4
ffffed62,ffffcaba,fffff662,ffffeb9c
ffff9bab,ffffd78d,00002315,ffffff95
00000e47,ffffbe22,ffffca18,ffffd24d
000016e6,000001bd,00002f34,ffffef56
fffffd29,ffffe4a1,00001565,0000014c
ffffaedc,ffffbc14,000053fd,00003452
00002b48,00002879,00004367,00001b30
00000b2a,fffffd73,00001e1e,00002996
000031af,ffffca76,fffffe1d,ffffd2e2
0000633c,00002ac8,ffffd54c,ffffbbe0
ffffee37,ffffdd2e,0000120b,00004750
ffffcdff,fffffb6f,ffffdc9c,fffff59a
00001348,000032c4,ffffceaa,00002085
00000a02,000069a4,0000626b,ffffda00
00002763,000017ab,00002f59,00004e06
ffffeebe,ffffc732,000010a5,ffffba83
000010f5,ffffe4b8,00001d6f,000024b5
ffff8fcd,000013a7,00002540,ffffc3a2
00003979,ffffdf0b,00000365,00001af6
fffffeb0,fffffe9e,00003d40,00001d8f
00000f42,00003d11,ffffb583,00000f45
ffffbc24,fffffc72,ffffe4fb,0000200c
00000ee9,00004dd9,00002d6f,000059b9
fffff14c,ffffde47,ffffb628,ffffb4ee
0000353f,000011a9,00001118,ffffc495
ffff9fc9,ffff9216,00002f06,ffff9fe1
000007c8,ffffbc24,0000145f,00006a63
0000032e,fffff8c7,000061ce,000035fa
ffffe6e2,ffffea89,ffffd475,ffffee8e
0000248e,fffffbe0,0000130d,0000098c
ffffe183,00002e73,00003f54,00002bfa
0000107f,ffffff6d,ffffe2c2,00002bf1
ffffd5e7,00000dfc,000023cc,00004b3d
ffffb784,fffffa61,ffffe653,000019b2
0000356e,00000f3b,ffffbdac,ffff9165
ffffae9b,00001fe8,ffffe7d3,00000063
00002d1b,00003b39,fffffa9b,000026a6
0000267a,ffffee70,000004f7,00001c5c
00001fff,ffffd5a4,00003ef8,ffffa5d4
ffffed7f,0000373e,00001830,ffffa6c6
000009f5,00005222,ffffd85b,00001cce
ffffb1fd,ffffd148,ffffe5cb,fffffd4c
00001aaf,ffffd353,ffffd673,00006ed4
ffffec95,ffffe4bd,ffffe83c,00001676
00000511,ffffd956,ffff94c0,0000154e
ffffaae3,00002600,fffff3bb,fffff11d
00003097,000060fb,000013ca,ffffba1f
000049ea,ffffbae0,00003f7a,00001892
0000287a,00001b5f,00006da5,000013f4
ffffede4,ffffe2e4,00000440,fffff39b
00000110,0000386e,ffffa98e,ffffda27
00001000,fffff234,fffffd3d,ffffba8a
ffffd0dd,00000639,ffffd70c,00004158
00000a82,00001db0,ffff91c1,ffffd416
00005ddb,000015ef,ffffd4c5,000007c6
00001a17,ffffbcbf,fffff4cb,0000249e
00003bf8,000001fa,fffff07f,00006fa8
00005247,ffffd240,ffffc8aa,fffff583
000063ba,0000302a,000005f2,ffffd383
fffffc71,ffff9ad7,ffffd8f0,00001d38
00005ed5,fffffce7,ffffbb58,0000054f
ffffe4dd,ffffe6a7,0000533b,0000466c
0000290e,00005233,000010ad,0000732b
0000101d,00000158,000027f1,000044ff
ffffed8e,00005294,ffffe474,ffffb602
ffffcdc0,ffff9339,ffffafc9,ffffd868
00005e58,000021c0,0000400e,00000639
00001e22,ffffe313,ffffd53d,00004fae
ffffd908,000016d9,00002c6f,ffffed19
ffffd0a6,00003d5e,00000afb,00001cd8
ffffdaae,fffff6a3,000011e1,00002666
000025ce,000006d2,fffffe6d,ffffeb51
ffff999b,000039b3,fffffbbb,ffff9b7d
00004930,ffffb95c,00005159,000013ef
0000283a,000029b6,00002fc5,ffffe995
ffffadd8,fffff33f,00004614,00006c46
00004884,fffff4b7,00002dd3,ffffd340
ffffeeea,00002454,000054b7,000009fa
000007ca,ffffc892,ffffe202,fffff4e1
000048e6,0000348f,fffff464,00000f35
ffffef2e,ffff962e,ffffe70b,000021aa
00005aa7,00007118,ffffe128,ffffe135
ffffb7c2,fffff9be,ffffc93d,ffffa4d2
00001b4d,ffffeadc,00003aeb,00003148
00002d4a,00000ec3,fffff0c1,00001842
00003c51,ffffff37,ffffdba4,00002a57
00002814,00005d5e,00001442,ffffeea2
fffff819,0000281d,00002eeb,000001a5
ffffb68a,ffffc36a,0000068d,ffffb7c7
ffffcb00,ffffeef5,0000250e,0000582c
00005c8d,fffff2fe,000046f1,00005cc2
000017c7,ffffb8ff,0000250e,ffffc923
00006a23,ffffda9d,ffffb5d9,ffffa01d
0000033f,0000093b,000000de,00000da1
00001ec7,00000619,00001d93,0000345a
00004806,ffffab02,ffffe25a,ffffce50
ffffd70f,00002464,00003267,000013cc
ffffdce8,000000f1,00000f50,00004883
000026de,000045bb,ffffcf67,00000ade
fffff29d,ffffbed5,00004921,00002e76
00002156,ffffed08,fffff3ff,ffffb6f6
000047be,ffffc6b0,ffffb596,00005029
ffffc0a2,00006885,000017d6,fffff118
00000da8,fffffeb9,00005f89,ffffba55
0000604d,fffffbb8,0000221a,00000f74
ffffff54,ffffe5d3,0000161d,0000498e
ffffab29,ffffcf43,000047ab,fffffe1b
fffff987,ffffe13f,00000174,000028a6
ffffff7b,ffffd7df,ffffc612,fffff318
ffffe3f4,ffff9758,00001adb,ffffddd9
fffffe06,ffffe428,00006f20,ffffe8e5
ffffee8e,fffffb52,00001a24,00001e72
000022bf,000011b3,fffffe2e,fffff5e0
ffffd63f,ffffad52,00000550,00006494
00003703,ffffe7a4,ffffe6c0,ffffbf28
ffffdfca,00001f1f,00005a35,00003113
00000875,0000030a,00000aea,fffff868
ffffe34c,ffffffb8,000025a2,0000199e
ffffd5ed,ffffa058,ffffcaff,000051a1
000071c1,ffffda7f,ffff9b31,fffff6ec
ffffc38f,ffffe543,00000d4c,00003f76
000030da,ffffc3f3,fffff49f,00001015
00001a5e,000009f4,ffffe0d3,00003439
ffffde86,000037f3,ffffd9bf,000020f4
00006a80,fffff8e0,ffffd940,ffffa6b2
00007743,ffffccdc,fffffd74,00000ef7
00000a5a,ffffeede,00002623,ffffe3b9
fffff854,ffffc9d8,ffff8f0a,ffffc468
00005789,ffffd650,00001603,fffffcb7
00005a7b,ffffecc5,fffff4d9,fffffa61
ffffdfee,00002a85,00003167,00002ad4
ffffc882,ffffd036,00005018,ffffe911
00005804,00001776,00005c59,00002b7c
0000271d,ffffa690,ffffe66d,00004f93
ffffc2bc,00002a93,fffff08d,ffffddae
000011fa,ffffa483,fffff016,00000d5d
00001fad,00001900,fffffd73,000025d0
ffffe6f6,fffff981,00002701,00000752
000000b3,00001eb0,00004a07,ffffdfe1
ffffe4c1,fffffca6,00001d5b,ffffe0c4
00007642,00003bb1,ffffc030,ffffce35
ffffe0e1,00001039,ffffd7dc,0000225c
00004234,00000b2b,ffffbb0b,ffffd3b3
0000317b,00003219,00004753,000031ac
00000414,ffffdd12,ffffdc83,fffff781
000019cc,ffffeba1,ffffc0e0,00000827
000025c7,0000306a,0000385b,fffffb51
00002214,ffffcc61,00000ff3,ffffa4c3
fffff4ca,fffff9ff,fffff48d,fffffdc6
000063e5,ffffc0d8,fffff8b2,00004cf4
00002c17,ffffe2cf,ffffc3fb,ffffea6d
000042fa,00005162,ffffccdb,00002240
00000b00,00001228,000018a1,0000075b
00000a7e,00004200,00000706,ffffef5b
000075f8,00001fbb,ffffb4a9,fffff019
ffffc069,ffffb62e,00002cc0,ffffe26c
000005ee,00006aa9,00001090,00000f0f
00000317,ffffedd8,fffff19f,ffffd7f5
0000504b,000062a5,00001331,ffffc45e
0000501b,00004dec,000020c8,ffffe982
000029ac,00006bb1,00004ac3,00004f00
ffffb111,ffffb889,000040ba,00002a0b
ffffdfba,ffffc1ef,ffffed77,ffffc8d4
fffff35d,ffffa64e,000000ab,00000cb4
00002034,ffffe093,000044ae,00000249
ffffab27,fffff972,ffffe170,fffff6c9
00004e63,ffffeccb,ffffca47,ffffb040
fffff637,ffffd522,ffffa9cd,000065cf
ffffc3f9,ffffe6ba,00000f12,ffffb624
ffffc983,ffffaf40,0000316a,fffff5f8
00001536,0000106f,0000006e,fffff8a9
00001114,000030f2,ffffd791,00001969
ffffcb6a,000004b1,ffffaaf6,000005e5
ffffca26,ffffc050,00001af1,ffffbfcb
00000b27,ffffefb9,00002ac4,ffffb251
00007625,0000146e,ffffd4ba,fffff866
00003e89,000001d2,fffff16d,0000483b
ffffce83,ffff8ae6,ffffbcd8,ffffd81c
00002713,000011c8,00006c86,fffffa37
ffffcf72,00003f9c,00000e11,ffffea22
00002408,000000c8,0000062d,ffffbc0c
000010b9,00001876,00006e82,ffffc1f8
0000191e,000002d4,ffffbd08,00002afc
ffffded5,000032e6,ffffe5f2,fffff3be
ffffcce8,0000131c,00003edc,ffffe2dd
00001dad,00001c2a,fffff32e,00003f8f
0000047e,fffff794,000046a8,00000f63
ffffde40,ffffc1e6,ffff9993,ffffbfd0
fffffd94,fffff4fd,00003434,ffffb958
00003022,0000091c,ffffa5c9,ffffacf7
00001bba,fffffed1,ffff8a21,ffffd324
ffffc975,ffffea07,000068a3,00000c79
00000c32,00001a4c,00002a5a,ffffcc49
fffff1a5,000018cd,ffffe36e,ffffce35
ffffe7d5,ffffb436,000013bf,00001cfe
ffffe7f1,fffffc4c,ffffd282,00001f3d
00002245,ffff96eb,ffff907e,00003051
ffffbfdf,0000442e,ffffe41b,00001b71
fffffeca,ffffa7c9,fffff0c5,00001a6a
