00002b21,0000684b,00005584,00000ab4
000029e6,00007ea9,00000f1f,00004386
00003624,00002229,00005e71,00002ce6
000068ee,00002244,000023db,00000d5f
00002d1e,000025e3,00000446,00001083
00002b1a,00003f42,00004ab3,00003910
00004491,0000555c,00000c51,00006a2b
000044bf,000056e4,00005568,00007a34
00004d38,00000ea3,0000514e,00006a07
00005d90,000023ed,000068ac,00006e23
0000068a,000064e6,00006b95,0000202e
00006438,00005eb5,00005c95,000075f5
0000269b,00005cf6,00004905,00005dec
00006aad,0000496c,00002551,00003dcb
00000322,00001420,00002be0,000021f0
000048d9,00003828,00005dff,0000357e
00003391,000040f1,00000a74,0000338c
00006c52,00006002,00003f50,00004a12
00003e88,00002b2b,000022d5,00004e70
00006c0b,0000536c,00004f1e,00007be5
00007acf,00000d45,0000745d,00005683
00000aa8,000076dc,00000e19,00001e3b
00003c95,00004c58,000014c7,00006c18
000044c5,00002ce3,00002014,000016ef
00005489,00007d6f,00004024,00001ad4
00006862,00004c3c,00004af1,00000f74
00001c3f,000019b9,000054b8,00002612
00004da4,000056d0,000016b3,000050cf
000077c7,000030fa,00005f8d,00002052
00005124,00003ae7,00006aaf,00007909
00007fd8,000063e4,00004dad,000069e5
000019a1,0000188e,000046e0,00002b6d
00006bd1,000068c0,0000100c,00004de7
00003ba3,00006134,00007355,000071a0
00002dc3,00007852,00005c34,00005cc8
0000330a,0000146a,00002573,00007692
0000599e,000028fb,00001891,0000445c
00005a5f,000037f0,000049bb,000044fb
00004eb8,00007df8,000078d3,000063b0
00005462,00002a15,00004ad6,0000413f
00002b8e,00002760,00007bcb,00002b33
000070fc,00000446,00005cd0,000042db
00002200,00002573,000051c2,00000a56
0000065a,00003527,00005986,000016b2
000079b0,000004ef,000006ef,00006cc7
000074d2,0000068c,00007a76,0000008b
00002489,000032c7,00004643,00006bb5
000003d2,00007062,00000036,00002b04
0000648d,00006466,00001d4a,00002880
0000120a,00002861,00005f35,00006c97
00006cf0,00003af0,000015d3,00007bf6
00007c8f,00003818,00001b0f,00001c65
000019e9,00002aac,000063b3,00004525
0000568b,0000245a,000064c1,00002a08
00005c3f,00007d6c,00006f23,00000a96
00003b46,0000766d,00001ef4,00004105
00006185,00002f50,000000ec,000067cf
00001319,0000755e,00005616,0000007b
000038d3,00003439,00005f2a,0000481e
000055c0,00000e59,000066ec,000073a3
00003099,00005b43,00004c4e,000077bb
00003061,00001c22,00003af2,00007378
00002803,00002e09,000010be,00003e59
00003306,000018bd,00004ef7,00006adf
00001190,000027bb,000056d0,0000156e
000079b9,00003dd8,000018a8,000019a4
00002562,00002e15,000007d6,00002fe9
00006ee8,0000626c,00000f54,00003757
00001391,00007413,00004356,00005da5
0000565b,00002bbe,00002b8f,00002bc9
000054bf,0000244f,00005901,0000426f
000014d2,0000070a,00002202,00003f93
00002030,0000094e,00002c48,00005f59
00006a2f,00006990,00002357,00000d2f
00005759,00000e3e,000053ed,00000d3e
00004be2,00001dd5,00007bd5,000023bd
000018cf,0000135a,000032db,00005c7e
00005ab0,0000241d,00007900,00004d0c
00001185,000011bb,00007983,000056b3
0000574d,000017cd,000002a6,00000a1c
00007be6,00000df1,000057b4,00005158
00003931,00003527,00001cb2,000074b1
0000319a,00000896,0000090b,000073d4
00003104,00006757,00005515,0000313e
00006b4f,000005ea,00007a51,000041ea
00005431,00004779,00005ea7,00002bd8
00005288,000013c2,00004812,00000785
00004059,00002dd4,0000492d,00000160
00001948,000061cf,00004bd1,00004cab
000069b7,000055bb,00006b37,00005e47
00001621,0000002c,00007f66,000037d1
000016a5,000057fc,0000035d,00006e50
0000167e,00005bb4,0000517c,00000bde
0000605b,00006419,00002985,00006120
0000212d,00007d1f,00006be8,00007269
0000058b,000010fc,000057c1,0000312b
00003227,000049b1,0000694a,00003a35
00003036,00000c16,00006949,00007b48
00000c55,00007b51,00007150,00000c29
00006dce,0000026c,00001c42,0000664d
0000327b,000027e9,00000346,000063f9
00007248,0000596e,00006e9d,000064c0
00001b55,0000480f,00000000,00007407
00002e4d,00002492,000052c7,000067b5
00003912,0000083e,00000d5c,00003418
00007c6e,00003e45,00004f4d,00001d96
0000150e,000002f8,00005cfa,000047b1
00005b7f,000056c4,00004f8d,00001a52
000070f6,00006e11,0000193c,00005178
0000232f,00006b15,00001718,00001ce2
0000281a,00002fea,00000130,00005451
00004b66,00000fea,00002548,0000659f
000018f5,0000487e,00000dda,000004a6
00005108,00007fb3,00002627,00007f1d
0000745b,000058ee,00003ce4,00007e40
000053d3,00002e84,00002207,00007ecf
00006e4f,000012b5,00000981,00004bfa
00002661,00003acc,00002d6a,000073ae
00007c06,000013ac,00003946,00006bd0
00005051,00007c31,00003146,0000028f
00004e87,00005677,0000374f,00007438
00007393,00002baa,000002a7,0000236f
000057ae,00003b62,00005a51,000051d0
00000961,000043d7,000055f5,00005994
000014a7,000036eb,000069b6,00003522
00007070,00002de9,00006b64,000008e7
00006f8f,00006a3a,00002bb9,00002c61
00003a5c,00001b92,00001df3,00003e84
00001bf3,00002be8,0000020b,00000b10
00007505,0000316d,00002de0,0000704a
00002267,000079b2,00007ea7,0000430a
0000030e,00002a8e,00007d20,0000361c
00007e6a,00002986,00005edb,000070de
00001d1a,0000350e,00002b16,00003d02
00004cd1,00000fb8,000014f7,00006b0e
00003440,00004c6b,00007efd,0000595a
00005021,00003825,000038db,000045c9
00006c43,00000ec1,00007c1b,00007b63
000079e4,0000371a,000024e6,00000051
000059c9,00007252,00005ff9,000010c2
00003453,00003379,000013fd,00000ee6
000049f8,00000a7d,00001368,00007837
00007a0b,00000b21,00005dd1,00000f35
00004f35,00004cf3,000037ff,0000144b
000013e5,000064e1,00005f4d,00002b07
00000ee0,00001eae,00001a26,00006d9c
00003883,00004003,0000308f,00001694
00001996,0000365c,00005408,00005beb
00005d9d,00002182,00001e10,00004223
00002507,00007067,0000684a,00007579
000049d1,00002cb4,00004fb5,00000399
00000949,0000784d,00007d4d,00003719
00003b0d,00001d2e,0000546b,0000299c
000008b6,0000786e,000050ea,00007f79
00004569,00007f8b,00001416,00007b18
000044c6,00000bcd,000066fb,00005c84
00003768,000027b0,00006221,00003ab4
00001617,00003373,00004832,00007389
00007b26,0000622a,00002501,00007fcd
000043e8,00001113,00001d23,00002315
00006901,00005440,00003761,0000705d
00004460,00000adf,00007ed0,00000ee0
00003688,000027c3,00000ed2,0000394a
00001ba4,00000f5a,0000638b,000035ca
00005be8,00003647,00004a16,0000624b
00003d09,000001f8,00006701,00006f7f
0000079a,00003b4d,00006c94,0000266e
00006c82,000053a7,000079af,0000162a
00001fe6,00005b2d,00000306,000018dc
00005707,000016b5,00000959,00006516
00004ed5,000012fa,00005825,00002a24
00001de9,00005ef5,00005da7,00000ae7
000030a9,00001bc7,0000575a,000046e6
000010d7,00005047,00002d8a,00006818
000065cf,000010ea,000019c7,00002d2e
000064bf,000015fd,00002d23,00007c0e
000006e4,0000259d,00002c9e,0000704e
0000222c,00005b40,00007835,000044e7
000029c1,00000c9f,00002854,00006ee2
00002305,0000788f,00000233,00001764
0000102f,00005e9b,00000e50,0000368f
00006f79,000022ef,000021b9,00003eb3
00006ac5,00002aa5,00003d00,000003da
00000961,00002d94,000043df,00004773
00007c1a,000060cb,00000c84,000046f0
000055ef,000063db,000060fb,000020ec
00004d2e,00004949,00001ee5,00004293
000073c5,000048b6,00000fd7,0000255b
000079d3,00005acb,00000b7f,000001db
00005c70,0000605c,000003d2,00001099
000023f4,00007736,00006eda,00006e98
0000109d,00001ca2,0000189b,000048e9
000051de,00006a28,00001ee3,00007b7e
00004855,00004e14,00005cdc,00007159
000063c3,00006931,00003377,000030cd
00006833,00006979,00002f23,000067b1
00000a11,00002f6d,0000550c,00006ce8
000000fc,00007f6f,00006ad4,00005d42
00006f4a,00007c66,00003ca9,00000a05
000070c6,00004e98,00004607,000040e3
00000267,00001b6e,00003015,00002cb2
000008a2,00005ab8,0000547a,000005b0
00005138,00007a0a,00004160,00003959
00006c7b,00002787,00000a9f,00004505
00005c3a,00004d2c,000025bd,00007563
00005075,00002635,0000035f,00003d01
0000057b,00007324,00003f8a,000032ff
000002db,00000eb8,00004c55,00004207
00004424,00001b29,00004d4d,000058d5
00005f0b,00000aca,000049b8,00007c04
0000401b,00006261,0000686a,000041e3
00001dd0,00006e24,00007cc4,00005c52
000048a1,00001181,0000432f,000039c7
00000ae1,00007a0f,00006fa1,00003a56
000028e2,00005877,0000692b,000023e9
0000648c,00004513,000019d3,000076da
000053a8,0000193b,0000063e,0000661f
00003e86,00006b5c,00006162,00005e92
000048bd,0000736d,00006cd6,000070bf
0000089c,00007a69,00004ce6,0000430b
00007e9a,00006253,00004c5a,000061a8
0000603d,000046ff,000018a1,00004bcc
00006b6b,0000349d,00006b4d,0000092b
00004c70,000063f8,000065fd,000038bd
0000060f,00003fa5,00001fd9,00000c2c
0000290b,00003826,00004400,00006fe5
000034ac,00004ed8,0000443e,000023b7
000026ab,0000112f,0000022e,00004430
00000182,00003f83,00000f87,00002500
00004571,000014cf,000038b8,000016de
00003747,000028a2,00007c38,00002d3b
00003da3,00000646,00001e12,000002b4
0000209a,0000312d,00002e9a,00007b04
000001ea,000012b7,000001ac,00002758
00003dc5,00005b84,00003ffe,00007694
00001f79,00000e33,0000090f,00002997
00004590,00004b89,00003558,000001e9
00007a37,00003963,000076e7,00005eaa
000029a7,0000206a,00004a3b,00006be4
000032b3,00000d0c,000005a1,00001796
00000175,000070be,00007468,00000e7c
00006176,00005d29,000040bf,00002775
00006373,00003c68,0000652d,00002b91
00002b88,0000163f,00002669,00007d2c
00000b2e,00002cfa,00001f50,00007275
00001a19,000016f5,00006252,000047ad
00001340,00002e4d,00000761,00000b47
00003a06,00002d31,0000617b,00004f6c
000046c1,00004ec7,00004c8b,00003d26
00000840,000037e6,0000576a,00007723
00007ad8,000064c8,0000188e,000042b4
00000fdb,00004be6,000013ee,00001c87
00000456,00006472,000072c0,000059e2
00007bc6,00003171,00000501,00000b54
00001385,000027e3,00005dd2,00001323
000060ae,00002a11,00004d3a,000079df
000031be,00003d9c,00006712,000050f7
000015e0,00006666,000031f6,00001939
00000c56,00004c95,0000244f,0000218c
00001199,00001d25,000071d0,00004b0a
0000097b,00003bb1,000058cc,0000229f
00001396,0000063c,00005297,00006a32
00003331,000064c5,0000230a,00002cbc
000073db,00001fdc,00005a8f,00006ea3
000079e0,00000a3b,00006100,00002fd0
000071e1,0000087b,0000416c,000052f8
00003fc9,00007550,00007786,0000346f
00005d2e,00003b18,00000213,00004494
000030d7,00000566,00005000,00005c2c
00003457,0000352f,00001a53,00002d43
000046d6,00002fc0,0000473d,00002edc
00006a42,000025e3,00007445,00007ea9
0000227b,00004c62,0000473f,000014e4
000047eb,00006ca3,000066a9,000051c9
0000323c,00002789,000067b3,0000576b
0000235e,00003004,00004b3e,00006689
00004446,00007006,000008d2,00005d47
00005ddd,00005353,00007c23,00007e8b
00003929,00006f69,0000451f,00001f73
00003fa6,00000d60,0000743c,000040f4
0000541c,00002ad3,00000540,0000665c
0000241c,00007922,00002899,00001782
000022f6,000020c5,00001a3a,00001e4e
00005b70,00000b58,00003e14,000007c8
0000683d,000043ab,00001211,00006bab
000071b8,00004da0,0000568d,00002bb7
00003a7e,000064af,00002f64,000051e0
00000486,000001cd,00004359,00005647
00003f96,00002a42,00006a98,00004f56
00005110,00006165,00004c0f,00003318
00002309,00000c20,0000575d,000011d8
00005e38,000045b0,00003c21,0000268a
00006280,0000148d,00002191,00002e53
000013f9,00002b3a,000079a1,000048bb
000023ce,0000458a,0000788a,0000308c
00004dcc,00004088,00002027,00000efd
0000404e,0000385f,00001af8,00003e09
0000164b,0000481a,00006392,00003448
00000623,000040ce,00004710,00001d3d
00000313,0000736f,00003fdc,000073fc
000067da,00003e5d,00007bcb,00001e6f
0000492f,00001964,00006eb8,00004823
00003881,00001bfe,000048e2,00000b57
00003ec3,00000b13,0000711f,000008ef
00004901,00002a40,00006e0a,00004313
00003dc0,000065b1,00004615,00003427
00007002,0000674d,00001587,00001446
00005f07,00000f47,00004a44,00007efc
00001d67,00004ec7,0000007e,00006f92
00006106,000072d8,00005594,00003dae
00006c97,00001e74,0000796e,0000184b
00002b1a,00006401,00003461,00002a55
000038d5,000019aa,00004b41,000056a7
000018f0,00000a73,000065e3,000075fa
0000031f,00001925,00005ad5,000038ab
00006995,000074dd,000062db,00002a0d
00007f73,000027f8,0000038b,00002d64
000030e9,000023fb,00000272,00006e27
000003bf,000018c0,0000395f,000021c4
000024fd,000062dd,0000153d,00003ca1
00006522,000019ab,00006783,000048e3
00001431,00003468,000057bb,0000605a
00000b51,000073d4,000034c3,00005e1e
00002e95,00000e44,000063d7,00000b20
000060d1,00002518,00005e4a,00002dfa
00005c23,00002b16,000052b1,0000312c
00002121,00003ba8,00000406,00004723
0000098f,000009b0,000052fd,00001abe
00004f62,00003e90,000073f1,00005289
00005813,00007198,00002d77,0000039b
000051b7,00007ceb,00002305,000072f3
00005cee,00007abb,0000129c,000030c5
000046d8,000072c6,000010f7,000058fb
0000014c,00006790,00004722,0000196d
00001dfc,00001a71,00007331,00000db6
00007001,00007280,0000712d,00002a31
00006c55,00001b73,0000636c,00000a5b
00007d90,0000478c,000030d8,000006cd
00007906,00005dd9,0000677d,00003510
00001ed9,00001028,00004fdd,00002281
00003896,000077c3,00003574,00006dcf
00001e57,0000198a,00007dbf,000024a1
000015b2,00005756,000008f5,00002e1b
00001c55,0000441a,0000014e,00005ae1
000050c5,000020bf,00007ac8,0000098f
00005b0e,00001d21,00002b8d,000058ea
000064d6,000035a5,00001cfe,0000290b
00004f29,00003995,000019b2,0000518a
000010c7,00006adf,0000711c,000019fe
0000190c,00004ca0,00006385,00000a78
000031ab,00000b5e,00003339,000041aa
00005fd1,000048b1,000068d9,00003007
00000677,000046bc,0000645f,000028f4
00002587,000065f4,000036bf,00005e57
00006115,00007d96,00005b98,000012b5
000040ef,00007e28,00007f06,000007a1
000009a9,0000663b,00000a04,0000786c
00000f80,00002c71,00004882,000046c4
00003488,0000100d,00001772,00006a2e
00001efc,0000565e,00006d49,00004d75
000002a5,00004cf8,00004ce0,0000208e
00003df7,0000798c,0000107a,0000257b
00005a21,0000013f,00004fa3,0000788d
000032a0,00000037,000062f6,00007390
00007840,0000434c,00005353,000051c4
00006b38,00002c4b,0000206a,000037ac
00006198,00003004,0000447f,00007652
0000764d,00005b5a,00003fe8,0000219b
000047e9,00007e13,00001ce0,000000b1
00002179,0000579b,00002e31,00007a77
000061c0,00006fcc,00003c94,0000757f
00006797,00002375,00005c8b,00003b97
0000765c,000070bf,00005abf,00004541
0000240b,0000281d,00000676,00006179
00007cda,00001a4b,0000590f,000044ec
00000552,00001b74,00006576,00007ffb
00001c29,00006524,0000340c,00000f4a
00007494,00002c09,00006040,00004f1e
0000641d,0000550f,0000606b,00004a45
00006562,00006984,0000192a,00002f0e
00007a48,000006ed,00001af9,00001849
00002902,000031e0,00003a21,00004d5a
00000797,00004325,000076d3,0000305c
00004121,0000677c,000067f2,00000681
000021bc,0000230b,00005daf,00004c6d
000022a0,000050ad,0000021d,00000ff2
00006af5,00006b8d,0000468d,0000051e
00001dfa,000017cd,00005daf,00002f8b
00006bdf,000013b0,00001fd5,00002e7c
00000a84,000013e9,000066b3,00001fa7
00004e27,00002824,0000436e,00003729
000025c6,00003809,000061ce,00002706
00007702,000048ca,000057bf,00007595
00001712,00000b0f,0000024b,0000050c
00000b9d,000026d3,000022d2,000044f5
00005d78,00003e98,00007e83,00005e79
00002b73,00005339,0000389f,0000162d
00000797,00000cb4,000020ad,00000103
000040ed,0000211c,00003c24,0000251d
000075fe,00004909,00003e39,000008e1
0000205f,00005c39,000016bd,00005ebe
00002b0a,00004af0,000059a9,000056d7
00003f71,00002145,0000224b,00004ad5
00000faf,0000514b,0000298d,000003e8
000025b4,000004fb,000027e4,0000153f
000054cb,00007ea4,000079fb,00005d1f
00004268,00003987,00005b6e,00002d27
00005463,00000fa8,00004899,00005cf2
00001608,00006c75,000038ca,000024ea
00003003,00006b93,00001d63,00003359
000031a2,000043d7,00006d39,00001498
000032d7,000019cf,000017c5,00007287
00006fee,0000151d,00007e7c,000056c5
00003e9a,00004d1a,00005e93,0000547a
00003bea,00004e00,000063e6,0000327a
000049e3,00003c24,000068f0,000040ef
00007de8,000002ce,000077bb,0000391c
00000982,00004c88,000005ba,00000d20
00005c7b,00005193,000077f2,0000260e
000062d1,00006e79,00007f0c,0000617e
000041da,00001ed1,000039bf,00005584
0000294d,00000f2b,00005f82,0000787c
00000122,000010c6,00005f78,00006883
0000195f,000026f5,000038bc,000011b8
000007f4,000073f1,00004f87,0000144e
00001fc6,00004894,00005b6c,00003172
00004c1f,00006093,00001ab5,0000798f
0000099a,00005436,00007c7e,000076f3
00002a5c,00007088,000025a0,0000787a
00000ba6,00001e2f,0000253c,00005f1a
00003f7c,000021cc,0000767b,000047dc
000032e9,00001ba5,0000689a,000031e8
000034f6,00001bcf,00001025,00006d2d
00007869,00004553,00001ea2,00005b49
000014e8,00003d08,00007778,000055ff
00003984,00004de9,00003c29,00006313
0000735c,000043c6,00006d1d,00005aeb
00005dd2,00007ed7,00006401,0000240e
00001372,00000cb4,00002181,00000260
00006018,000038b5,00001650,00004a66
00006dcd,0000467c,00007dd8,00007b52
00007f94,00000012,00002514,00005172
0000179b,00001b1f,00007f1c,00003005
00004c0a,00006dbc,00001be6,0000668e
00005f00,000043c5,00003291,00003a32
00005e6c,000026a2,00005e89,00005889
00004b43,00007df2,00004f54,00002ac8
0000164d,00007fee,00004b74,00007c23
00006654,00001087,000014d5,00007468
000072a5,00000a53,00002aae,000000b4
000050be,00001f7e,000008c3,00007d99
00000974,00001ba4,00005c15,00006b62
00006178,0000047b,000034d6,00003dd9
00000b45,000015a1,00006c13,00002a4b
00006ce5,0000180b,000015de,000076bd
00007b97,00000f54,00004abc,00002066
0000332a,00000407,00007350,00005126
00007b0a,000016ac,000063d3,00007856
000046a9,00006936,000068f7,00005a3f
00002711,00004f6b,00004a9e,00000935
000037fd,000003e0,000048ab,00005346
00003c84,00007b80,000065ea,00006e84
00004df4,000019ee,00004cd2,00004808
000037cf,0000019b,000042dc,000023ea
00004750,00005737,0000673e,0000550e
00001a80,00004cb6,00006231,00001a3d
00006c0a,000036de,000037a3,0000401c
00002378,0000682b,00004902,00007e53
00000bf9,00001591,00005f6c,0000277d
00006a42,0000668c,000002f3,00001333
00007904,00006146,00007e5f,00000edb
00002478,00001792,000004d4,000058e8
0000288c,00005ccb,00001f1b,0000128b
0000054d,00000668,0000031f,0000137d
00003f57,00000aa1,00007125,000070cf
000063ea,000015fa,00005a7a,00004ded
00002278,00007864,00001ec4,00003848
00006347,00004b1f,0000417b,00001e94
0000513d,00001804,00005be8,00002df0
000058c7,000052c0,00001a00,0000540d
00001045,00004aaa,000050c1,0000479c
00007218,00002ce7,0000408b,0000389f
000039fb,00003b9d,0000166d,00003893
00005c86,000032b2,00003480,0000089a
0000270d,00000def,00007ff5,0000283f
00003841,000035dc,00001fae,000001f3
00006209,000044d1,00002e59,00003801
0000170d,00007d11,000024d0,00003dd6
000005ce,00007f96,00007d2d,00000e7a
00000551,00005cd0,00003825,00001eff
00005598,00001f75,00005e75,00002f1e
00005a1e,00007404,000008ee,00005722
00004c85,0000576c,00003fd9,00006520
00006214,000034f3,00007f04,00003a9a
00005baa,00005dd2,0000347c,00002aa3
000079e2,00004586,00005cf5,00003786
00005ff4,0000749b,00007d8b,0000509a
00001609,00006f24,0000108a,000028e3
0000355e,00006b68,00001a02,000046de
000074a4,00000a7d,0000326e,00006398
00007991,0000486e,0000161a,000064a5
000036c3,00001a71,00006756,000032b6
00003346,00004943,00000dd5,0000554e
00007bc5,00003c08,00004454,00005acd
00007a8f,000079de,000052b0,00007e97
00004431,000007bb,000066b0,0000036b
000007f2,00005bdf,000043f1,00001dea
000015b8,00007f23,0000569f,000042ab
00004a5f,00000930,000059f0,00002378
00006ab3,000040dd,00007c81,00005c4a
00001fdb,00000cd0,0000419c,00005c1c
00002600,00002f9b,000001aa,00001699
000044e7,000022d7,00001570,00004a89
0000247f,00000149,00005a0c,00002cac
00006177,00006cb7,00002858,00005e90
00001eb4,000069c7,00006781,0000613b
00003544,0000253d,000017cb,00001103
000056a1,00004cbd,00005bfa,00001e56
0000002e,00002b63,000034af,0000288e
00006ed5,000035e0,0000092e,00003ff3
00001a07,00003647,00007356,00004ed1
000066d3,000052c3,000039dd,00007615
00000c78,000019cc,00004d18,00002225
00000a97,00001af5,00000ac9,00002eb4
0000323e,00002f0d,0000386f,000050c4
00006b4f,00005d9e,00000729,0000234e
00007b60,00005179,00006f41,00005251
0000386b,00000842,00001022,000002f2
00002a03,000026da,000069b1,000055c1
00006e3b,00006e0f,00001c30,000069cb
0000504c,00003c17,00002c7c,000075b3
0000361b,00003f23,00000750,00001c2f
0000230b,00005bae,00004080,00000807
000075b9,00002dd3,00004f6d,000072c0
00004b93,00001d52,00001362,000011aa
00007865,00004c22,00002c1e,0000258e
00002843,000024d4,00005ac1,00006db9
000069fb,0000313f,00006a81,00001f1f
00001e6d,000032a9,00005a7d,00004b18
00001f84,0000611c,00006a36,00006179
000021b9,0000413c,00003eb5,00001728
0000643b,0000483d,000059db,0000503a
00005a68,000043d0,000075d6,00006a5d
00005cec,00007cfe,000043fe,00001f91
000074e8,0000779e,0000729f,0000045b
000035cf,0000262e,0000618c,00006a59
00003dee,00007e65,00000f15,00001603
0000690f,00005138,00002d28,00004c74
00002891,000006ff,00007230,00003f83
000057d0,00006230,00005304,00000552
00001b3d,00002c28,0000100d,00006dfc
00005816,00000ad7,00000380,00004559
00006c8b,0000440f,00005405,00006d76
000003f9,000040f3,00000f70,000047d2
00002eb8,00003607,00003218,00002355
00003524,0000604f,00002834,00003410
00004681,00001ff1,000024b8,00001c34
000044d7,00003c58,00000d29,000039db
00006082,00002579,000062ba,0000285d
00000de8,00006e08,0000311d,00000207
000072e3,00000f92,0000769a,0000693b
00002e94,00002179,000067b0,00004985
00001374,000052e2,00004ad6,00002ead
000035d9,00007881,00003bc3,0000612e
00004c93,00000986,00007ec5,00005ec6
00003868,0000073a,000031a2,00003923
00005881,00003c32,00000ba3,00001329
00006a7b,0000299f,00002b87,00005771
0000304f,00004fe9,00001fd0,00002360
00001ce7,000034f2,00002f12,0000716f
0000725d,00007b93,000017c0,00002382
00000cd3,00004a51,000079e5,00005b05
000008f6,00000c44,000037da,000021cf
00000b22,00006cc6,00004d78,00003aeb
00003416,00007114,00003c1c,0000128e
000024a5,0000002e,00004152,000030f8
00004d51,0000621e,000010a3,00004202
00007c06,00007e75,000077ba,000012f2
00005817,00001a64,00000273,00001e05
0000332d,00006b2f,000050c1,00005876
0000677e,000048c7,0000559d,00004ffa
000016ce,00005664,00001a3b,000055b2
000029bf,0000108b,0000064a,00001b14
000017a8,00003b82,000070c7,0000252c
00004962,00000cf5,00003110,000062ef
00000cd7,000071d4,00001603,00004f72
0000480c,00000475,0000491e,00003b24
00007f6f,000008d3,00003c89,000065dd
000078f2,000031cb,00001b84,000022c7
00006fdc,00000ee3,00005a3e,0000042e
000064d0,0000144b,00006e00,00006199
0000537e,00006378,000016de,000015fe
00003491,00004228,0000035f,00003b41
00000e8c,00006885,00002ff0,0000077c
00003d02,000040b2,00002772,00003338
0000396f,00001175,00005180,00006020
00004acc,00007fae,0000675b,00005910
00003aac,00002022,00007897,000077bb
00006bab,000075f5,00005a6b,0000552f
0000503a,00007922,000079e8,00003443
00005dc6,000059c6,000013ce,00002db0
00000d9b,00004b61,00007b1b,00002ba0
0000621f,00006915,00002c1e,00001863
0000078f,00004b1c,00007810,00004824
00002089,00001c78,00002c34,00007b38
000008e0,00002eaf,000044f4,00001702
0000039d,00005695,00007dd8,00001c1a
00005284,00003d66,00005851,00005e65
00007b4b,0000427a,00000ddf,00004f72
000007e9,00006602,00002a8c,00005280
000075e5,00007854,00000bc9,00006611
00005271,0000596f,00003b8d,000040c2
000046d8,00005a55,0000488b,0000790d
00007be1,00002acc,00001626,000038d6
00000ace,0000436b,0000227b,0000534e
00004a36,000003cb,000045b3,00000031
000001aa,00003bfc,00007d5b,0000193f
00003d58,00003a8a,00002f57,00005bb5
0000427b,00006983,000073d2,00006576
00000d1c,0000090a,00001a1c,00007214
000062f3,00001eba,000064fb,000038a6
00001300,00000daf,00007ebc,00000edd
000019a2,000078ec,00003ddc,00007c1c
000038e1,00007827,00000240,00003754
000058cc,000031b3,000048b5,00005ea9
000016e6,000017c1,00006cd7,00002c86
00006fe0,00007c53,0000053a,00001326
00005888,000074b2,0000690c,00001a6b
000068b8,00000634,00002d0f,0000096c
00005aa1,0000042f,00007113,000041a7
0000174b,00007824,000011b4,00002353
0000260c,00004030,00001dc5,0000544f
00006c3b,00001414,0000619d,00001dfd
0000235b,00004eb1,000048fd,00004c3f
000006c8,00005771,00003cd0,0000453f
0000367e,0000262e,00006c6e,00001154
0000187b,00007b79,000021b0,00001217
000025d9,00001304,00004653,000022d4
00000ac0,00004326,0000419f,00003309
00000689,0000030d,00007b1d,00001470
00007a55,00003d9c,00007ccb,00007968
00002108,00007d3c,0000252f,000022f9
00006068,00006933,000053bb,0000751c
000027fd,0000670c,00003e34,00000701
00006fa3,000072c8,00001ffb,00004752
0000658a,00001546,000059df,000077f1
0000553c,00001174,00003f9b,00006592
00004ee2,000066bd,00000609,00006b2c
00002ff7,00006624,00001c74,00002dc4
00006529,00001c2c,00004055,0000528c
00000c50,000059d7,00006455,000055ae
00001043,00001939,000006ac,00001daf
00004460,00000864,000024b6,000047af
000060ba,00007853,00003b36,000022de
00000033,00003dbb,000000df,00000161
00003b28,00003c20,0000396d,00003415
00001452,00003d5d,00004a54,00007207
00003d41,000069c6,0000473c,000008c0
00002d17,00003841,00002a61,00007c4c
00003a0f,00004a32,00001bc9,000036e5
000027bd,0000749c,00000b78,00000fae
00002533,00002b8e,00006aef,0000660d
000037b1,00006417,00000478,00006d8f
00001274,00001561,00002279,0000415d
00003080,00000e23,00002103,00006f38
000034a6,0000545e,0000146b,00003266
00000b8d,000028d3,00001d38,00001634
00000654,00004e7d,000072eb,00004aa0
00000531,000038de,00007c1d,000050a3
00000f74,00005523,000037f6,00001bc4
000014cc,00004a70,000047ae,00004e71
00000a54,000023bd,000035d1,0000546e
000074a6,000020e7,00004379,00004916
00007afd,00003163,000009f3,000034c1
00000e49,00006e2d,000038c6,00007a3c
00007406,00003a47,00003ff6,000072bf
000064d6,00005ebc,00005a92,00005969
00005286,00004f31,00003301,000019b1
000078e4,0000619d,00007d0a,00005225
000000b2,000063d4,000035a2,000064f3
00006d57,00002645,00001cb6,00006671
000030cb,0000325c,000041c7,000033b7
0000505b,00005bf3,00003820,00004be4
00002373,0000334e,000057a2,00005038
000004e1,00005b42,00007648,00003352
00007c0a,000001a4,0000554f,00001057
000058b2,00003f0f,000066f5,000030fd
0000476f,0000656e,00003c6d,000014a8
00002c57,000067f9,000064fa,00007efd
0000681c,00005a84,00002c48,00007472
00004615,00006c31,000060da,00004791
00001e3b,00005f1f,00002b30,00002a45
00000c3d,0000626c,00002dff,00003c61
0000354c,0000511f,00002333,00007b93
00006a74,00007363,000075eb,00005ad2
000043c1,0000250d,00002da0,000050fb
000058ef,00003554,00006cf1,00007324
00001a07,00005851,0000757e,0000663f
00005706,0000739c,00006db3,00006046
00002f3b,0000316c,0000007f,00006205
00005393,00003aa6,0000246e,00006455
00007103,000017c2,00005338,000013e1
00002408,000038df,0000357a,000051e6
00002bd9,00000d21,00001388,00000e70
000013de,00006298,00000182,000028d8
00005a58,00004005,000029b9,0000448c
00001c49,00006467,00006ba4,0000043e
00003573,00004b17,0000642e,0000703e
000056c9,000027e3,00005977,00001796
